,Boat,Trip Details,Dock Totals,Date
0,"Dolphin  Fisherman's Landing  San Diego, CA",46 Anglers1/2 Day AM,"10 Sand Bass, 2 Halibut, 18 Sculpin, 5 Calico Bass, 5 Halibut Released",2020-01-01
0,"Alicia  H&M Landing  San Diego, CA",9 Anglers1/2 Day Twilight,"19 Lobster, 67 Lobster Released",2020-01-01
1,"Premier  H&M Landing  San Diego, CA",38 Anglers1/2 Day AM,340 Rockfish,2020-01-01
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",25 Anglers1/2 Day AM,"14 Sand Bass, 48 Sculpin, 7 Triggerfish, 15 Sand Bass Released, 20 Calico Bass Released",2020-01-01
0,"Daily Double  Point Loma Sportfishing  San Diego, CA",25 Anglers1/2 Day AM,"8 Barred Sand Bass, 57 Blacksmith, 1 Halibut, 8 Sculpin, 4 Calico Bass",2020-01-01
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",26 Anglers3/4 Day,"5 Lingcod, 255 Rockfish",2020-01-01
0,"Dolphin  Fisherman's Landing  San Diego, CA",11 Anglers1/2 Day AM,"10 Sand Bass, 1 Halibut, 5 Sculpin",2020-01-02
1,"Dolphin  Fisherman's Landing  San Diego, CA",44 Anglers1/2 Day PM,"7 Sand Bass, 182 Blacksmith Perch, 1 Sculpin",2020-01-02
0,"Alicia  H&M Landing  San Diego, CA",6 Anglers1/2 Day Twilight,"20 Lobster, 52 Lobster Released",2020-01-02
1,"Jig Strike  H&M Landing  San Diego, CA",10 Anglers1/2 Day Twilight,"14 Lobster, 70 Lobster Released",2020-01-02
2,"Premier  H&M Landing  San Diego, CA",22 Anglers1/2 Day AM,220 Rockfish,2020-01-02
0,"Electra  Helgrens Sportfishing  Oceanside, CA",19 Anglers1/2 Day AM,"1 Blacksmith, 1 Calico Bass, 2 Sculpin Released, 18 Sheephead Released, 1 Calico Bass Released, 11 Whitefish Released",2020-01-02
0,"Chubasco II  Oceanside Sea Center  Oceanside, CA",25 Anglers1/2 Day AM,"13 Sand Bass, 16 Sculpin, 1 Triggerfish, 2 Calico Bass, 2 Sargo",2020-01-02
0,"New Seaforth  Seaforth Sportfishing  San Diego, CA",17 Anglers3/4 Day,170 Rockfish,2020-01-02
1,"Sea Watch  Seaforth Sportfishing  San Diego, CA",20 Anglers1/2 Day AM,,2020-01-02
0,"Dolphin  Fisherman's Landing  San Diego, CA",30 Anglers1/2 Day AM,"17 Sand Bass, 168 Blacksmith Perch, 8 Sculpin, 3 Calico Bass",2020-01-03
1,"Dolphin  Fisherman's Landing  San Diego, CA",28 Anglers1/2 Day PM,"19 Sand Bass, 198 Blacksmith Perch, 21 Sculpin, 6 Calico Bass",2020-01-03
0,"Alicia  H&M Landing  San Diego, CA",10 Anglers1/2 Day Twilight,"15 Lobster, 84 Lobster Released",2020-01-03
1,"Jig Strike  H&M Landing  San Diego, CA",10 Anglers1/2 Day Twilight,"24 Lobster, 36 Lobster Released",2020-01-03
2,"Premier  H&M Landing  San Diego, CA",47 Anglers1/2 Day AM,450 Rockfish,2020-01-03
0,"Electra  Helgrens Sportfishing  Oceanside, CA",33 Anglers1/2 Day AM,"24 Sculpin, 20 Sculpin Released",2020-01-03
